date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:51:55	768/768	---MCZ	200	added ('OK')	text/plain	date:Mon,%2009%20Mar%202026%2014:51:55%20GMT	https://www.kwerk.fr/robots.txt		(from )
15:51:55	18539/18539	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2014:51:56%20GMT	https://www.kwerk.fr/	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/index.html	(from )
15:51:55	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2009%20Mar%202026%2014:51:56%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/User/Documents/kwerk/kwerk/www.googletagmanager.com/gtm.05445.delayed	(from https://www.kwerk.fr/)
15:51:56	26053/26053	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Feb%202026%2004:19:16%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Users/User/Documents/kwerk/kwerk/unpkg.com/aos@2.3.1/dist/aos.css	(from https://www.kwerk.fr/)
15:51:56	115166/115166	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2269806d41-1c1de%22	https://www.kwerk.fr/favicon.ico	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/favicon.ico	(from https://www.kwerk.fr/)
15:51:56	14652/14652	---MCZ	200	added ('OK')	text/css	etag:W/%2269949108-393c%22	https://www.kwerk.fr/css/navbar.css	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/css/navbar.css	(from https://www.kwerk.fr/)
15:51:56	47087/47087	---MCZ	200	added ('OK')	text/css	etag:W/%2269949108-b7ef%22	https://www.kwerk.fr/css/styles.css	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/css/styles.css	(from https://www.kwerk.fr/)
15:51:57	4174/4174	---MCZ	200	added ('OK')	text/css	etag:W/%2269806d41-104e%22	https://www.kwerk.fr/css/footer.css	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/css/footer.css	(from https://www.kwerk.fr/)
15:51:57	117889/117889	---M--	200	added ('OK')	image/png	etag:%2269806d48-1cc81%22	https://www.kwerk.fr/images/logo_kwerk.png	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/logo_kwerk.png	(from https://www.kwerk.fr/)
15:51:57	392563/392563	---M--	200	added ('OK')	image/jpeg	etag:%2269806d46-5fd73%22	https://www.kwerk.fr/images/content/Salle_de_reunion_Mes_1.jpg	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/content/Salle_de_reunion_Mes_1.jpg	(from https://www.kwerk.fr/)
15:51:57	438/438	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221b6-649d3e3803040%22	https://www.kwerk.fr/images/menu_burger.svg	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/menu_burger.svg	(from https://www.kwerk.fr/)
15:51:57	18069/18069	---M--	200	added ('OK')	image/png	etag:%2269806d48-4695%22	https://www.kwerk.fr/images/logo-sans-bureaux.png	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/logo-sans-bureaux.png	(from https://www.kwerk.fr/)
15:51:58	17123/17123	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2014:51:58%20GMT	https://www.kwerk.fr/en	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/en.html	(from https://www.kwerk.fr/)
15:51:58	15596/15596	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2014:51:58%20GMT	https://www.kwerk.fr/contact	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/contact.html	(from https://www.kwerk.fr/)
15:51:58	116596/116596	---M--	200	added ('OK')	image/png	etag:%2269806d48-1c774%22	https://www.kwerk.fr/images/logo-kwerk-noir.png	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/logo-kwerk-noir.png	(from https://www.kwerk.fr/)
15:51:58	321/321	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22141-649d3e33f8d63%22	https://www.kwerk.fr/images/close_cross.svg	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/close_cross.svg	(from https://www.kwerk.fr/)
15:51:59	12308/12308	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2014:51:59%20GMT	https://www.kwerk.fr/espaces	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/espaces.html	(from https://www.kwerk.fr/)
15:51:59	13156/13156	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2014:51:59%20GMT	https://www.kwerk.fr/services	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/services.html	(from https://www.kwerk.fr/)
15:51:59	13357/13357	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2014:51:59%20GMT	https://www.kwerk.fr/event	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/event.html	(from https://www.kwerk.fr/)
15:51:59	15676/15676	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2014:52:00%20GMT	https://www.kwerk.fr/galerie	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/galerie.html	(from https://www.kwerk.fr/)
15:51:59	335487/335487	---M--	200	added ('OK')	image/png	etag:%2269806d43-51e7f%22	https://www.kwerk.fr/images/adresses.png	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/adresses.png	(from https://www.kwerk.fr/)
15:52:00	14255/14255	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2014:52:00%20GMT	https://www.kwerk.fr/adresses	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/adresses.html	(from https://www.kwerk.fr/)
15:52:00	13317/13317	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2014:52:00%20GMT	https://www.kwerk.fr/adresses/messine	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/adresses/messine.html	(from https://www.kwerk.fr/)
15:52:00	13186/13186	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2014:52:00%20GMT	https://www.kwerk.fr/adresses/saint-honore	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/adresses/saint-honore.html	(from https://www.kwerk.fr/)
15:52:00	13590/13590	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2014:52:01%20GMT	https://www.kwerk.fr/adresses/madeleine	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/adresses/madeleine.html	(from https://www.kwerk.fr/)
15:52:01	13370/13370	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2014:52:01%20GMT	https://www.kwerk.fr/adresses/haussmann	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/adresses/haussmann.html	(from https://www.kwerk.fr/)
15:52:01	358540/358540	---M--	200	added ('OK')	image/jpeg	etag:%2269806d45-5788c%22	https://www.kwerk.fr/images/content/Lobby_Mes_1.jpg	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/content/Lobby_Mes_1.jpg	(from https://www.kwerk.fr/)
15:52:01	2326699/2326699	---M--	200	added ('OK')	image/jpeg	etag:%2269806d43-2380ab%22	https://www.kwerk.fr/images/content/Escalier_SHO_1.jpg	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/content/Escalier_SHO_1.jpg	(from https://www.kwerk.fr/)
15:52:01	20051426/20051426	---M--	200	added ('OK')	image/jpeg	etag:%2269806d45-131f5e2%22	https://www.kwerk.fr/images/content/Lobby_Mad_1.jpg	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/content/Lobby_Mad_1.jpg	(from https://www.kwerk.fr/)
15:52:01	10421610/10421610	---M--	200	added ('OK')	image/jpeg	etag:%2269806d45-9f056a%22	https://www.kwerk.fr/images/content/Lobby_Hsm_1.jpg	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/content/Lobby_Hsm_1.jpg	(from https://www.kwerk.fr/)
15:52:02	2808896/2808896	---M--	200	added ('OK')	image/jpeg	etag:%2269806d43-2adc40%22	https://www.kwerk.fr/images/content/Dana_1.jpg	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/content/Dana_1.jpg	(from https://www.kwerk.fr/)
15:52:02	20436707/20436707	---M--	200	added ('OK')	image/jpeg	etag:%2269806d46-137d6e3%22	https://www.kwerk.fr/images/content/Sport_Sho_1.jpg	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/content/Sport_Sho_1.jpg	(from https://www.kwerk.fr/)
15:52:02	2036664/2036664	---M--	200	added ('OK')	image/png	etag:%2269806d46-1f13b8%22	https://www.kwerk.fr/images/content/Rooftop_Sho_IA_1.png	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/content/Rooftop_Sho_IA_1.png	(from https://www.kwerk.fr/)
15:52:02	234147/234147	---M--	200	added ('OK')	image/jpeg	etag:%2269806d43-392a3%22	https://www.kwerk.fr/images/content/BARISTA_MESSINE(2).jpg	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/content/BARISTA_MESSINE(2).jpg	(from https://www.kwerk.fr/)
15:52:02	280831/280831	---M--	200	added ('OK')	image/jpeg	etag:%2269806d43-448ff%22	https://www.kwerk.fr/images/content/ESPACE_WELLNESS_MESSINE(5).jpg	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/content/ESPACE_WELLNESS_MESSINE(5).jpg	(from https://www.kwerk.fr/)
15:52:03	1845885/1845885	---M--	200	added ('OK')	image/png	etag:%2269806d46-1c2a7d%22	https://www.kwerk.fr/images/content/Rooftop_Madeleine_IA_1.png	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/content/Rooftop_Madeleine_IA_1.png	(from https://www.kwerk.fr/)
15:52:03	303066/303066	---M--	200	added ('OK')	image/jpeg	etag:%2269806d46-49fda%22	https://www.kwerk.fr/images/content/SALLE_DE_R%c3%89UNION_MESSINE(10).jpg	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/content/SALLE_DE_R%c3%89UNION_MESSINE(10).jpg	(from https://www.kwerk.fr/)
15:52:03	2343250/2343250	---M--	200	added ('OK')	image/png	etag:%2269806d46-23c152%22	https://www.kwerk.fr/images/content/SHO_privatifs.png	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/content/SHO_privatifs.png	(from https://www.kwerk.fr/)
15:52:03	1170/1170	---MCZ	200	added ('OK')	text/javascript	etag:W/%2269949109-492%22	https://www.kwerk.fr/js/univers.js	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/js/univers.js	(from https://www.kwerk.fr/)
15:52:03	4432/4432	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269806d46-1150%22	https://www.kwerk.fr/images/footer_social/instagram.svg	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/footer_social/instagram.svg	(from https://www.kwerk.fr/)
15:52:04	1356/1356	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269806d46-54c%22	https://www.kwerk.fr/images/footer_social/linkedin.svg	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/images/footer_social/linkedin.svg	(from https://www.kwerk.fr/)
15:52:04	24300/24300	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2014:52:04%20GMT	https://www.kwerk.fr/cgu	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/cgu.html	(from https://www.kwerk.fr/)
15:52:04	14874/14874	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2014:52:04%20GMT	https://www.kwerk.fr/mentions-legales	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/mentions-legales.html	(from https://www.kwerk.fr/)
15:52:04	14239/14239	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2006%20Feb%202026%2021:26:24%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/Users/User/Documents/kwerk/kwerk/unpkg.com/aos@2.3.1/dist/aos.js	(from https://www.kwerk.fr/)
15:52:05	2068/2068	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2009%20Mar%202026%2014:38:12%20GMT	http://js-eu1.hs-scripts.com/26225487.js	C:/Users/User/Documents/kwerk/kwerk/js-eu1.hs-scripts.com/26225487.js	(from https://www.kwerk.fr/)
15:52:05	714/714	---M-Z	200	added ('OK')	text/javascript	etag:%222ca-649d3e3828200-gzip%22	https://www.kwerk.fr/js/sticky.js	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/js/sticky.js	(from https://www.kwerk.fr/)
15:52:05	7672/7672	---MCZ	200	added ('OK')	text/javascript	etag:W/%2269806d48-1df8%22	https://www.kwerk.fr/js/contact.js	C:/Users/User/Documents/kwerk/kwerk/www.kwerk.fr/js/contact.js	(from https://www.kwerk.fr/)
